名称,hist_1,hist_2,hist_3,hist_4,hist_5,hist_6,hist_7,hist_8
J21,-0.1846518,2.730424,-0.59011775,-1.211087,-0.22381082,0.0,0.0,0.0
J22,-0.1846518,2.4962513,-0.42763606,-1.1945944,-0.22381082,0.0,0.0,0.0
J23,-0.1846518,2.730424,-0.59011775,-1.211087,-0.22381082,0.0,0.0,0.0
J24,-0.09126675,2.6787236,-0.59011775,-1.211087,-0.22381082,0.0,0.0,0.0
J25,-0.16267885,2.718259,-0.59011775,-1.211087,-0.22381082,0.0,0.0,0.0
J26,5.4404244,-0.38376802,-0.59011775,-1.211087,-0.22381082,0.0,0.0,0.0
J27,5.4404244,-0.38376802,-0.59011775,-1.211087,-0.22381082,0.0,0.0,0.0
J28,5.4404244,-0.38376802,-0.59011775,-1.211087,-0.22381082,0.0,0.0,0.0
J29,5.4404244,-0.38376802,-0.59011775,-1.211087,-0.22381082,0.0,0.0,0.0
J30,5.4404244,-0.38376802,-0.59011775,-1.211087,-0.22381082,0.0,0.0,0.0
K1,-0.1846518,-0.38376802,-0.59011775,0.82368624,0.093016654,0.0,0.0,0.0
K2,-0.1846518,-0.38376802,-0.5830533,0.88553345,-0.1895592,0.0,0.0,0.0
K3,-0.1846518,-0.38376802,-0.59011775,0.89584136,-0.206685,0.0,0.0,0.0
K4,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
K5,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
K6,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
K7,-0.1846518,-0.38376802,-0.59011775,0.8979029,-0.21524791,0.0,0.0,0.0
K8,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
K10,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
K11,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
K12,-0.1846518,-0.38376802,-0.58540815,0.89584136,-0.22381082,0.0,0.0,0.0
K13,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
K14,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
K15,-0.1846518,-0.38376802,-0.38995913,0.72473073,-0.22381082,0.0,0.0,0.0
K16,-0.1846518,-0.38376802,0.10925998,0.2876771,-0.22381082,0.0,0.0,0.0
K17,-0.1846518,-0.38376802,1.7293673,-1.1306856,-0.22381082,0.0,0.0,0.0
K18,-0.1846518,-0.38376802,1.8212048,-1.211087,-0.22381082,0.0,0.0,0.0
K19,-0.1846518,-0.38376802,1.8212048,-1.211087,-0.22381082,0.0,0.0,0.0
K20,-0.1846518,-0.38376802,1.8212048,-1.211087,-0.22381082,0.0,0.0,0.0
K21,-0.1846518,-0.38376802,1.8212048,-1.211087,-0.22381082,0.0,0.0,0.0
