名称,r_mean,g_mean,b_mean,r_std,g_std,b_std
H3,0.8454892506265124,1.0034503850734482,1.1731342344487736,-0.6361193647398404,-0.573458409010965,-0.27368265567748135
H4,0.7129929633047809,0.9288342540147924,1.1561808819828192,-0.20561588377602272,-0.17696783022969875,-0.07855390655849179
H5,0.5335852098328684,0.8277996309578215,1.0205540622551834,-0.26006250271373965,-0.22711277076994213,-0.11735654233938725
H6,0.542795875747721,0.7961296582330121,0.9688829648473746,-0.34405606541744344,-0.671725864146212,-0.46079147895279593
H7,0.5609883711571816,0.7772501017561674,0.9527144898103994,-0.21070542637880216,-0.18165526199631327,-0.0821810862027028
H8,0.3888461740280409,0.7462889178410688,0.9477697620078294,-0.010543068032385337,0.0026928160571232846,0.02561707399467859
H9,0.14936886024187188,0.5918373926704316,0.8391427258370839,6.534184893705663,6.041156742117541,4.639237281119805
H10,0.3656192773731951,0.733208542534586,0.9437407245390685,-0.06032130191174548,-0.04315257575562149,0.02499362037731864
H11,0.18249293207230471,0.5640979760722008,0.672460922502831,-0.248553290294741,-0.2165128697352073,-0.10915423728661201
H12,0.5248322167585053,0.5919340456899377,0.5343224950024611,-0.7098099915986885,-0.6413269410576887,-0.43787943880313557
H13,0.7690578862647537,0.6964803951222943,0.6192200702370634,-0.03331534459057962,-0.018280285234674083,0.04424003725852723
H14,0.6655666152090489,0.5722168297107073,0.3307776150871434,0.12334772101979082,0.12600526018864813,0.15588957572025633
H15,0.5244889621281381,0.3608044583778493,0.13230827587922567,-0.5399646769216475,-0.48490064000009947,-0.31683526722576355
H16,0.356580238773526,0.28989335973359137,0.0020971104115475,-0.33003803383103647,-0.24968897544225255,0.1867430977402269
H17,1.0794744903268065,0.5413845164882836,0.037835196011075004,-0.29550701955540337,-0.25975691331139283,-0.14261689283075907
H18,0.14101633090293716,-0.2522012090025667,-1.1543674560276282,-0.2161684926630316,-0.16952677020173612,-0.4670408090321963
H19,-0.07666431385491596,-0.2038424815763826,-0.849991989069427,0.4317540272747591,0.4010960156506588,0.2908671481758497
H20,-0.3415424702882563,-0.5148396806736211,-1.158448818658321,0.016184015914696686,-0.015305507430474758,-0.43524763799846344
H21,-0.21888614903705075,-0.4756307724273412,-1.1655127155191354,-0.19716274175315168,-0.33159348654356685,-0.6507171780321588
I1,0.6200281675803364,0.8764805351156923,1.0600857220947777,-0.0145883300897331,-0.0010328409128246832,0.05758627504367124
I2,0.8093903053328972,0.9831210333040129,1.1567302961831047,0.16397380731162908,0.1634215905546793,0.021843669350096826
I3,0.8869658517958798,1.0268081981207389,1.1821603248820365,-0.004992984116888274,0.007804403027368887,0.06442461913629328
I4,0.7922275738145382,0.8934270312024164,1.0769867493988003,-0.3728843153493288,-0.30470701940769696,-0.20696038693530452
I5,0.6091012285136479,0.870326959540475,1.0550886691302759,-0.34872907273320236,-0.30877403768202344,-0.18054681364608052
I6,0.5983459167621429,0.7982882423353134,0.9697986551811838,-0.3793320057253525,-0.33695911666743983,-0.202356698004188
I7,0.529122899638095,0.693323063151764,0.8041895176665359,-0.4054174937911864,-0.3609836616905347,-0.22094712129095478
I8,0.4699686850048177,0.754343336133238,0.9347407966867718,0.0012884429607376393,-0.24742357574353438,-0.1387981767101312
I9,1.6777101019517395,1.20819369806039,1.1955032411746858,-0.5714628323729561,-0.5139102123674859,-0.33928315246810115
I10,-0.17128817362613516,-0.15590258390139133,-0.7666903312737494,-0.13134356468090713,-0.11911141231514563,0.19555391521940094
I11,-0.22741030569116905,-0.3517216014206097,-1.1466494946426644,-0.3888087361627954,-0.19707997557699036,-0.33400573593427907
I12,-0.17758117518286679,-0.1665344160470547,-0.7697775158277349,-0.1790273208598247,-0.15247995692376493,0.16271395363870025
I13,0.4550371085838454,-0.04120766742090145,-0.9812758203567103,-0.11641228859350566,-0.09481196704340657,0.24941449285212483
I14,0.6278086058686592,0.053608944714514765,-0.8526344097469909,-0.25477195075699854,-0.208509259954644,0.11345785790809072
I15,0.40818285153872536,-0.24079615270085505,-1.15708836444809,-0.4853602021656072,-0.29725675184418915,-0.5217705308916301
I16,0.19027337036062747,-0.40952010708521613,-1.1583180057534912,0.2581980204841966,0.5833972943941313,-0.4488964787286524
I17,-0.0996051649844558,-0.5844942900643005,-1.1568790638003623,-0.30180102012606347,-0.26555364211721727,-0.46216678020207086
I18,-0.03352864863877371,-0.5472828775544787,-1.1638383103373127,-0.5610309970747657,-0.5043025678349252,-0.5746074339427193
I19,-0.40870595963010115,-0.8549616563153434,-1.1629749451654354,-0.3438081899540547,-0.26541880464616874,-0.5736580985847058
I20,-0.6504716376187181,-0.9513247167628561,-1.155963373466553,0.6877790795399469,1.113005521517796,-0.4672958101455903
I21,-0.5113963032149491,-1.0935979614757334,-1.1425942945929377,-0.057558007937246365,0.2056840063654735,-0.3448458121901245
I22,-1.0802836439434882,-1.0707878488723102,-1.1700650046072156,-0.8184846468540714,-0.7414155091328972,-0.8129758369996394
I23,-1.0318847410617158,-1.2156062897655129,-1.1577162663912737,-0.04363683127193277,0.15658019796327374,-0.34218925661239513
I24,-1.2433295933678985,-1.4230558872986239,-1.1605156625546333,-0.34868992774998653,-0.3667129604867642,-0.6156552294269266
I25,-0.8958986983312516,-1.4822075352363147,-1.1586581193060488,-0.08761071693618588,-0.14609327947643969,-0.6367336791145717
J1,0.8869658517958798,1.0268081981207389,1.1821603248820365,-0.34773321644631877,-0.3078568612757248,-0.17983709374897797
J2,1.0858247009885993,1.0604434489088377,1.202776438683228,-0.10339000370339467,0.0750916483274453,-0.04844879558181649
J3,0.9714636999712672,1.0612488907380544,1.2136862349460413,-0.025139207108445482,-0.18408160905656032,-0.0820628241686508
J4,0.9846217941353425,1.0540965672946083,1.1992968154147527,-0.16826788813005208,-0.26809771719523806,-0.04784693545827788
J5,0.8698603293825821,1.0171751138433045,1.1743377131732087,-0.26134824330014833,-0.22829692851037767,-0.1182728549526682
J6,0.6825577194122243,0.8292172085772432,0.8944504219991639,-0.18294288719566534,-0.18141136978785918,-0.10928037038015784
J7,0.7382793877418299,0.8770926709058972,0.9266303965873183,-0.5222934311077724,-0.4686255509698246,-0.30424144728820507
J8,0.6502917841577095,0.8935236842219224,1.0471352445166182,-0.14291155684736792,-0.11921760061396748,-0.033866225171295394
J9,1.4496746091778099,1.0906958440142251,1.1058440762042754,-0.39432264653911137,-0.3559475769129326,-0.16215058481258743
J10,-1.8762339226599167,-1.618005027642288,-1.1711376704268208,-0.9744731194914344,-0.8850797593283375,-0.7428212039666781
J11,-1.770683123822009,-1.5317583165697397,-1.169620240730794,-0.9275004204492788,-0.6800884806303891,-0.712263628610243
J12,-1.3025982262112983,-1.307458875969411,-1.154838382485016,-0.09781263537597831,-0.49950431015300006,-0.566068256653511
J13,-0.736571340735819,-1.270150810440083,-1.173439977551827,-0.3155465836502003,-0.5303730381649826,-0.8361425141443719
J14,-0.4981237908407514,-1.1687617929782568,-1.1460739178614128,0.13188298445010402,-0.02258799743695466,-0.44024596062296895
